routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00264,0.02297,3e-05,12079,31.88856
__check_action_completion,0.00016,0.00244,0.0001,12079,1.9326400000000001
update_action_completion,0.00287,0.01889,0.00031,12079,34.66673
get_plan_out,0.00656,0.02239,0.00037,12079,79.23824
preplanner/update_percepts,0.00167,0.0136,0.00013,12079,20.17193
preplanner/needs_planning,6e-05,0.00219,0.0,12079,0.72474
preplanner/calculate_access_opportunities,0.04903,0.0,0.04903,1,0.04903
preplanner/_schedule_observations,0.38652,0.0,0.38652,1,0.38652
preplanner/is_observation_path_valid,0.0008,0.0,0.0008,1,0.0008
preplanner/_create_broadcast_path,0.02745,0.0,0.02745,1,0.02745
preplanner/_schedule_broadcasts,0.57099,0.0,0.57099,1,0.57099
preplanner/_schedule_maneuvers,0.97304,0.0,0.97304,1,0.97304
preplanner/__schedule_periodic_replan,0.01126,0.0,0.01126,1,0.01126
preplanner/generate_plan,1.99871,0.0,1.99871,1,1.99871
replanner/needs_planning,3e-05,0.00099,0.0,12079,0.36237
reward_grid/update,0.00096,0.00933,1e-05,12080,11.5968
reward_grid/__get_target_indeces,0.00018,0.00352,1e-05,4440,0.7992
reward_grid/propagate_reward,0.00067,0.00836,3e-05,8880,5.9496
reward_grid/update_observation,0.00246,0.0148,0.00014,4439,10.91994
reward_grid/update_event,9e-05,0.0,9e-05,1,9e-05
reward_grid/get_history,0.01258,0.0,0.01258,1,0.01258
