routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.002,0.011,0.0,12080,27.007973732743267
update_state,0.001,0.005,0.0,12080,8.00761088624131
sense_environment,0.177,0.158,0.133,12079,2136.862465523609
update_state_environment,0.002,0.012,0.0,12079,23.363641858035407
get_environment_broadcasts,0.001,0.012,0.0,12079,16.538117039766803
get_agent_broadcasts,0.015,0.038,0.0,12079,175.68811191778877
sense,0.198,0.167,0.153,12079,2392.9622990655953
think,0.229,0.239,0.135,12079,2762.3573261434685
perform_broadcast,0.012,0.029,0.001,402,4.950867429997743
do,0.188,0.183,0.132,12079,2268.673464328782
perform_wait_for_messages,0.188,0.184,0.132,11677,2196.3620457788784
perform_state_change,0.19,0.184,0.134,632,120.11051569387564
perform_observation,0.152,0.146,0.107,401,60.76920971297659
