routine,t_avg,t_std,t_med,n,t_total
get_current_time,0.0,0.001,0.0,1987650,0.0
get_updated_orbit_state,0.035,0.042,0.022,51296,1795.3600000000001
update_agent_state,0.013,0.03,0.0,144846,1882.9979999999998
check_agent_connectivity,0.0,0.0,0.0,1593306,0.0
update_agent_connectivity,0.0,0.002,0.0,144846,0.0
handle_agent_state,0.013,0.031,0.001,144846,1882.9979999999998
sar_sat_2_0,0.02,0.038,0.006,12429,248.58
handle_agent_request,0.023,0.042,0.009,149322,3434.406
handle_request,0.022,0.041,0.008,162082,3565.8039999999996
therm_sat_1_0,0.02,0.039,0.006,12434,248.68
therm_sat_2_0,0.02,0.04,0.006,12481,249.62
vis_sat_0_0,0.02,0.039,0.006,12468,249.36
therm_sat_0_0,0.02,0.039,0.006,12432,248.64000000000001
vis_sat_1_1,0.02,0.041,0.006,12461,249.22
vis_sat_1_0,0.02,0.038,0.006,12449,248.98000000000002
sar_sat_0_0,0.02,0.038,0.006,12420,248.4
vis_sat_2_0,0.02,0.038,0.006,12408,248.16
vis_sat_0_1,0.02,0.039,0.006,12445,248.9
sar_sat_1_0,0.02,0.037,0.006,12466,249.32
vis_sat_2_1,0.02,0.039,0.006,12429,248.58
handle_agent_broadcast,0.003,0.018,0.0,4489,13.467
handle_manager_broadcast,0.004,0.019,0.001,8271,33.084
query_measurement_data,0.006,0.015,0.002,4476,26.856
handle_observation,0.016,0.034,0.005,4476,71.616
