routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.027,0.114,0.0,7127
__check_action_completion,0.0,0.004,0.0,7127
preplanner/update_percepts,0.003,0.019,0.001,7127
preplanner/needs_planning,0.0,0.0,0.0,7127
preplanner/calculate_access_times,1.248,0.0,1.248,1
preplanner/_schedule_observations,232.986,0.0,232.986,1
preplanner/is_observation_path_valid,0.003,0.0,0.003,1
preplanner/_schedule_broadcasts,452.693,0.0,452.693,1
preplanner/_schedule_maneuvers,0.725,0.0,0.725,1
preplanner/__schedule_periodic_replan,0.038,0.0,0.038,1
preplanner/generate_plan,686.578,0.0,686.578,1
replanner/needs_planning,0.0,0.0,0.0,7127
