routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.001,0.004,0.0,45,0.04004723198886495
update_state,0.001,0.003,0.0,45,0.022954634001507657
sense_environment,0.112,0.102,0.096,45,5.060883900998306
update_state_environment,0.001,0.007,0.0,45,0.06596696001361124
get_environment_broadcasts,0.007,0.017,0.0,45,0.294779047017073
get_agent_broadcasts,0.011,0.049,0.0,45,0.4913702780067979
sense,0.133,0.114,0.1,45,5.983076587002869
think,0.409,0.596,0.21,44,18.017159008009912
perform_broadcast,0.015,0.034,0.001,12,0.18033340100373607
do,0.124,0.119,0.082,44,5.4506325390029815
perform_wait_for_messages,0.125,0.12,0.08,32,3.9858728700128268
perform_state_change,0.11,0.076,0.137,11,1.2078327859999263
perform_observation,0.114,0.094,0.13,11,1.2577831719972892
