routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00505,0.03467,2e-05,428,2.1614
__check_action_completion,0.00013,9e-05,9e-05,428,0.055639999999999995
get_plan_out,0.00141,0.0056,0.0001,428,0.60348
preplanner/update_percepts,9e-05,0.00059,3e-05,428,0.038520000000000006
preplanner/needs_planning,0.0,0.0,0.0,428,0.0
preplanner/calculate_access_opportunities,0.00087,0.0,0.00087,1,0.00087
preplanner/_schedule_observations,0.06522,0.0,0.06522,1,0.06522
preplanner/is_observation_path_valid,0.00013,0.0,0.00013,1,0.00013
preplanner/_create_broadcast_path,0.02108,0.0,0.02108,1,0.02108
preplanner/_schedule_broadcasts,0.14831,0.0,0.14831,1,0.14831
preplanner/_schedule_maneuvers,0.06208,0.0,0.06208,1,0.06208
preplanner/__schedule_periodic_replan,0.00086,0.0,0.00086,1,0.00086
preplanner/generate_plan,0.27843,0.0,0.27843,1,0.27843
replanner/needs_planning,5e-05,0.00086,0.0,428,0.021400000000000002
