Contacts between Entity1 with id imaging_sat_0_1 with Entity2 with id imaging_sat_2_1
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
start index,end index
129,236
425,532
722,829
1018,1125
1315,1421
1611,1718
1908,2014
2204,2311
2500,2607
2797,2904
3093,3200
3390,3497
3686,3793
3983,4090
4279,4386
4576,4683
4872,4979
5169,5275
5465,5572
5761,5868
6058,6165
6354,6461
6651,6758
6947,7054
7244,7351
7540,7647
7837,7944
8133,8240
8430,8537
