routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.0,0.002,0.0,1174,0.2783426159458031
update_state,0.0,0.0,0.0,1174,0.1280494980255753
sense_environment,0.027,0.018,0.024,1173,31.713504293995356
update_state_environment,0.0,0.001,0.0,1173,0.2190666399710608
get_environment_broadcasts,0.001,0.003,0.0,1173,1.0167895279828372
get_agent_broadcasts,0.007,0.022,0.0,1173,8.550822994031478
sense,0.036,0.025,0.029,1173,42.015358828999524
think,0.041,0.041,0.03,1173,48.50167107798188
perform_broadcast,0.002,0.007,0.0,97,0.23936152399983257
do,0.039,0.035,0.03,1173,46.26001138599713
perform_wait_for_messages,0.044,0.035,0.034,1026,44.721895799006234
perform_state_change,0.036,0.024,0.028,90,3.2783316009954433
perform_observation,0.013,0.01,0.009,85,1.1036438749943045
