req_id,measurer,measurement,pos,t_start,t_end,t_corr,t_img,u_max,u_exp,u
d9952c86,img_1,visible,"[2466.5311418031138, 2887.5685932047995, 5124.333557393623]",0,86400,86400,20.0,1,0.3333333333333333,0.3332561728395062
d99c7bda,img_1,visible,"[2985.5723224112626, 2952.536872868994, 4800.990166973737]",0,86400,86400,30.0,1,0.3333333333333333,0.3332175925925926
d998e114,sar_0,sar,"[3646.4015161375887, 3394.1326504988942, 3982.9941244376128]",0,86400,86400,60.0,1,0.3333333333333333,0.33310185185185187
d998256c,img_1,visible,"[2630.791861346594, 3624.2246161481426, 4541.426293066537]",0,86400,86400,80.0,1,0.3333333333333333,0.3330246913580247
d99f53f0,sar_0,sar,"[3189.9201237317257, 2883.3712928389405, 4710.753894359307]",0,86400,86400,130.0,1,0.3333333333333333,0.3328317901234568
d9903ce4,img_1,visible,"[2278.158738686018, 3900.8803476145704, 4502.637886430649]",0,86400,86400,130.0,1,0.3333333333333333,0.3328317901234568
d99124a6,img_1,visible,"[2900.2658846585045, 3836.63586121435, 4189.189149239713]",0,86400,86400,140.0,1,0.3333333333333333,0.3327932098765432
d997f826,img_1,visible,"[2554.4976095174534, 4002.3676229056564, 4258.663879136723]",0,86400,86400,160.0,1,0.3333333333333333,0.33271604938271604
d99c7bda,sar_0,sar,"[2985.5723224112626, 2952.536872868994, 4800.990166973737]",0,86400,86400,160.0,1,0.3333333333333333,0.33271604938271604
d9952c86,sar_0,sar,"[2466.5311418031138, 2887.5685932047995, 5124.333557393623]",0,86400,86400,250.0,1,0.3333333333333333,0.3323688271604938
d998b2c0,thm_0,thermal,"[-527.0624668467873, -2789.5682143175945, 5711.491661123914]",0,86400,86400,310.0,1,0.3333333333333333,0.3321373456790124
d9a1b9ce,thm_0,thermal,"[-484.4989370054224, -3071.0458366365833, 5569.071817699553]",0,86400,86400,350.0,1,0.3333333333333333,0.33198302469135804
d99ba5de,thm_0,thermal,"[818.7321547956417, -3678.3130987807463, 5145.902551294512]",0,86400,86400,570.0,1,0.3333333333333333,0.33113425925925927
d99d698c,thm_0,thermal,"[915.1829584388892, -3660.6480566836904, 5142.24840114309]",0,86400,86400,580.0,1,0.3333333333333333,0.33109567901234566
d9a03d42,sar_0,sar,"[92.82224045354891, 2374.5885848196267, 5918.896497312586]",0,86400,86400,630.0,1,0.3333333333333333,0.33090277777777777
d9a06b3c,thm_0,thermal,"[1114.3333362144322, -3833.713792656991, 4974.0850850352845]",0,86400,86400,630.0,1,0.3333333333333333,0.33090277777777777
d9a24574,thm_0,thermal,"[1467.201719626017, -3768.642845538931, 4932.065782009846]",0,86400,86400,670.0,1,0.3333333333333333,0.3307484567901235
d98e63d8,img_0,visible,"[615.1169652280626, -4623.984611421844, 4349.829892513073]",0,86400,86400,700.0,1,0.3333333333333333,0.3306327160493827
d98fcc50,img_0,visible,"[898.8023036626365, -4584.657516159215, 4342.08389368898]",0,86400,86400,720.0,1,0.3333333333333333,0.33055555555555555
d9906ee4,img_0,visible,"[1116.7695837167585, -4411.567404308493, 4468.950815964037]",0,86400,86400,760.0,1,0.3333333333333333,0.3304012345679012
d9a06b3c,img_0,visible,"[1114.3333362144322, -3833.713792656991, 4974.0850850352845]",0,86400,86400,860.0,1,0.3333333333333333,0.33001543209876544
d99d698c,img_0,visible,"[915.1829584388892, -3660.6480566836904, 5142.24840114309]",0,86400,86400,880.0,1,0.3333333333333333,0.32993827160493827
d9a24574,img_0,visible,"[1467.201719626017, -3768.642845538931, 4932.065782009846]",0,86400,86400,890.0,1,0.3333333333333333,0.3298996913580247
d9a00f02,sar_0,sar,"[-1105.7326004745605, 2672.4975525235704, 5684.693035633584]",0,86400,86400,930.0,1,0.3333333333333333,0.3297453703703704
d9990e8c,img_0,visible,"[1269.1043438792206, -3445.6511992852825, 5215.120769319583]",0,86400,86400,940.0,1,0.3333333333333333,0.32970679012345677
d994054a,img_0,visible,"[1641.7518519186992, -3405.4490986987353, 5136.943639390176]",0,86400,86400,960.0,1,0.3333333333333333,0.32962962962962966
d99dfa3c,thm_0,thermal,"[4120.5546538434155, -4849.729988828746, -426.3461522310146]",0,86400,86400,1630.0,1,0.3333333333333333,0.3270447530864197
d996cf28,img_0,visible,"[2690.787698949931, 1478.1265722988294, 5590.655243960366]",0,86400,86400,1730.0,1,0.3333333333333333,0.32665895061728395
d9996c38,img_0,visible,"[2908.914835722564, 1529.23176754171, 5466.286430569853]",0,86400,86400,1750.0,1,0.3333333333333333,0.3265817901234568
d99152fa,img_0,visible,"[2736.5225342760396, 1646.4048317042018, 5520.997936145076]",0,86400,86400,1760.0,1,0.3333333333333333,0.32654320987654323
d991bbfa,img_0,visible,"[2565.1049027893, 1740.7222025433123, 5574.113894838958]",0,86400,86400,1770.0,1,0.3333333333333333,0.3265046296296296
d99c4be2,thm_0,thermal,"[4761.341884619496, -4113.3787273239095, -1044.2037946420671]",0,86400,86400,1780.0,1,0.3333333333333333,0.32646604938271606
d9979ac0,img_0,visible,"[2630.174015858927, 2107.3204105932896, 5414.979962546043]",0,86400,86400,1830.0,1,0.3333333333333333,0.3262731481481482
