routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.0,0.003,0.0,427,0.198782707006103
update_state,0.0,0.0,0.0,427,0.07160979600485007
sense_environment,0.078,0.063,0.064,426,33.11656080399007
update_state_environment,0.001,0.003,0.0,426,0.26931234501171275
get_environment_broadcasts,0.002,0.011,0.0,426,0.9253924290042052
get_agent_broadcasts,0.01,0.026,0.0,426,4.41335274499761
sense,0.092,0.07,0.076,426,39.14002651498049
think,0.095,0.12,0.048,426,40.339228362008726
perform_broadcast,0.008,0.02,0.001,38,0.3117784639980528
do,0.076,0.067,0.056,426,32.310296765985186
perform_wait_for_messages,0.077,0.066,0.057,388,29.697007060038228
perform_state_change,0.07,0.049,0.056,38,2.676910279002186
perform_observation,0.064,0.078,0.03,34,2.16018775599332
