routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.002,0.012,0.0,12055,25.960883889936667
update_state,0.001,0.005,0.0,12055,7.929159862887899
sense_environment,0.177,0.158,0.135,12054,2135.489372789212
update_state_environment,0.002,0.014,0.0,12054,25.240933983066498
get_environment_broadcasts,0.001,0.01,0.0,12054,14.40443683687772
get_agent_broadcasts,0.015,0.038,0.0,12054,175.62112708106724
sense,0.198,0.166,0.154,12054,2390.284587856666
think,0.23,0.243,0.135,12054,2778.1274621406774
perform_broadcast,0.01,0.022,0.001,391,3.8854821240020105
do,0.187,0.182,0.132,12054,2255.6339066138207
perform_wait_for_messages,0.188,0.182,0.133,11663,2188.0562264695727
perform_state_change,0.197,0.184,0.14,632,124.5467205819732
perform_observation,0.148,0.16,0.095,390,57.65014721699117
