routine,t_avg,t_std,t_med,n
check_action_statuses,0.001,0.004,0.0,2684
update_state,0.0,0.0,0.0,2684
sense_environment,0.108,0.749,0.091,2683
update_state_environment,0.001,0.004,0.0,2683
get_environment_broadcasts,0.011,0.02,0.0,2683
get_agent_broadcasts,0.005,0.043,0.0,2683
sense,0.126,0.75,0.11,2683
think,0.129,1.793,0.049,2683
perform_broadcast,0.004,0.015,0.0,92
do,0.067,0.084,0.055,2683
perform_wait_for_messages,0.065,0.101,0.045,1691
perform_state_change,0.046,0.041,0.031,696
perform_observation,0.07,0.038,0.065,974
