routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.002,0.008,0.0,916
__check_action_completion,0.0,0.0,0.0,916
preplanner/update_percepts,0.0,0.001,0.0,916
preplanner/needs_planning,0.0,0.0,0.0,916
preplanner/calculate_access_times,0.167,0.0,0.167,1
preplanner/_schedule_observations,0.617,0.0,0.617,1
preplanner/is_observation_path_valid,0.001,0.0,0.001,1
preplanner/_schedule_broadcasts,3.143,0.0,3.143,1
preplanner/_schedule_maneuvers,0.051,0.0,0.051,1
preplanner/__schedule_periodic_replan,0.329,0.0,0.329,1
preplanner/generate_plan,4.147,0.0,4.147,1
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,916
replanner/update_percepts,0.001,0.003,0.0,916
replanner/check_request_completion,0.0,0.0,0.0,916
replanner/check_request_end_time,0.0,0.0,0.0,916
replanner/compare_bids,0.0,0.0,0.0,916
replanner/consensus_phase,0.0,0.0,0.0,916
replanner/is_observation_path_valid,0.001,0.007,0.0,9457
replanner/needs_planning,0.002,0.008,0.0,916
replanner/_get_available_requests,0.009,0.025,0.0,299
replanner/planning_phase,0.706,1.436,0.011,26
replanner/_schedule_observations,0.086,0.089,0.067,26
replanner/_schedule_maneuvers,0.024,0.015,0.027,26
replanner/_schedule_broadcasts,0.006,0.003,0.005,26
replanner/_schedule_waits,0.0,0.0,0.0,26
replanner/generate_plan,0.823,1.469,0.14,26
replanner/calc_imaging_time,0.075,0.062,0.035,9
