routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00898,0.05597,2e-05,10121,90.88658
__check_action_completion,0.00013,0.00026,9e-05,10121,1.3157299999999998
update_action_completion,0.00171,0.01214,0.00027,10121,17.30691
get_plan_out,0.00351,0.01265,0.00028,10121,35.52471
preplanner/update_percepts,0.01229,0.03165,0.00173,10121,124.38709
preplanner/needs_planning,2e-05,0.00082,0.0,10121,0.20242000000000002
preplanner/calculate_access_opportunities,0.01064,0.0,0.01064,1,0.01064
preplanner/_schedule_observations,0.28586,0.0,0.28586,1,0.28586
preplanner/is_observation_path_valid,0.00084,0.0,0.00084,1,0.00084
preplanner/_create_broadcast_path,0.10622,0.0,0.10622,1,0.10622
preplanner/_schedule_broadcasts,0.32792,0.0,0.32792,1,0.32792
preplanner/_schedule_maneuvers,1.63931,0.0,1.63931,1,1.63931
preplanner/__schedule_periodic_replan,0.00598,0.0,0.00598,1,0.00598
preplanner/generate_plan,2.28484,0.0,2.28484,1,2.28484
replanner/needs_planning,3e-05,0.00132,0.0,10121,0.30363
replanner/_create_broadcast_path,0.04595,0.05375,0.02654,123,5.65185
reward_grid/update,0.00092,0.00889,1e-05,10122,9.312240000000001
reward_grid/__get_target_indeces,0.00018,0.00363,1e-05,4264,0.7675200000000001
reward_grid/propagate_reward,0.00048,0.00628,4e-05,8528,4.09344
reward_grid/update_observation,0.00222,0.01372,0.00014,3326,7.38372
reward_grid/update_event,0.00091,0.00907,0.00011,938,0.85358
reward_grid/get_history,0.19517,0.0,0.19517,1,0.19517
