routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.002,0.01,0.0,12069,26.840623621257695
update_state,0.001,0.005,0.0,12069,7.627085157611873
sense_environment,0.176,0.159,0.133,12068,2129.256697848541
update_state_environment,0.002,0.013,0.0,12068,24.531686403912314
get_environment_broadcasts,0.001,0.012,0.0,12068,14.450052869804495
get_agent_broadcasts,0.015,0.038,0.0,12068,176.87722763497368
sense,0.198,0.167,0.151,12068,2385.403309246656
think,0.216,0.233,0.122,12068,2609.700051215612
perform_broadcast,0.012,0.032,0.001,364,4.22284738403323
do,0.201,0.19,0.145,12068,2429.542404734595
perform_wait_for_messages,0.201,0.191,0.145,11704,2357.7930489126884
perform_state_change,0.213,0.192,0.157,550,117.04807609489944
perform_observation,0.166,0.175,0.107,363,60.21609011302644
