routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00267,0.02441,3e-05,12068,32.221560000000004
__check_action_completion,0.00016,0.00151,9e-05,12068,1.9308800000000002
update_action_completion,0.00244,0.01832,0.00027,12068,29.445919999999997
get_plan_out,0.00659,0.02195,0.00034,12068,79.52812
preplanner/update_percepts,0.00163,0.01341,0.00012,12068,19.67084
preplanner/needs_planning,0.00012,0.00376,0.0,12068,1.4481600000000001
preplanner/calculate_access_opportunities,0.01601,0.0,0.01601,1,0.01601
preplanner/_schedule_observations,0.70104,0.0,0.70104,1,0.70104
preplanner/is_observation_path_valid,0.00072,0.0,0.00072,1,0.00072
preplanner/_create_broadcast_path,0.02522,0.0,0.02522,1,0.02522
preplanner/_schedule_broadcasts,0.63837,0.0,0.63837,1,0.63837
preplanner/_schedule_maneuvers,1.38282,0.0,1.38282,1,1.38282
preplanner/__schedule_periodic_replan,0.10524,0.0,0.10524,1,0.10524
preplanner/generate_plan,3.08869,0.0,3.08869,1,3.08869
replanner/needs_planning,5e-05,0.00192,0.0,12068,0.6034
reward_grid/update,0.00106,0.00997,1e-05,12069,12.79314
reward_grid/__get_target_indeces,0.00029,0.00444,1e-05,4440,1.2876
reward_grid/propagate_reward,0.00057,0.00691,3e-05,8880,5.061599999999999
reward_grid/update_observation,0.00258,0.01498,0.00014,4439,11.45262
reward_grid/update_event,0.0001,0.0,0.0001,1,0.0001
reward_grid/get_history,0.97134,0.0,0.97134,1,0.97134
