plan_index,t_plan,req_id,subtask_index,t_img,u_exp
66,44210.0,c475d7fd,1,44220.0,0.054
66,44210.0,c475d7fa,1,53860.0,0.042
67,44220.0,c475d7fa,1,53860.0,0.042
67,44220.0,c475d81a,1,54660.0,0.041
68,53860.0,c475d81a,1,54660.0,0.041
68,53860.0,c475d7f5,1,54710.0,0.041
69,54660.0,c475d7f5,1,54710.0,0.041
69,54660.0,c475d7d3,1,60450.0,0.033
70,54710.0,c475d7d3,1,60450.0,0.033
70,54710.0,c475d7de,1,60650.0,0.033
71,60450.0,c475d7de,1,60650.0,0.033
71,60450.0,c475d7be,1,60800.0,0.033
72,60650.0,c475d7be,1,60800.0,0.033
72,60650.0,c475d7e7,1,61450.0,0.032
73,60800.0,c475d7e7,1,61450.0,0.032
73,60800.0,c475d808,1,61630.0,0.032
74,61450.0,c475d808,1,61630.0,0.032
74,61450.0,c475d803,1,65070.0,0.027
75,61630.0,c475d803,1,65070.0,0.027
75,61630.0,c475d805,1,65120.0,0.027
76,65070.0,c475d805,1,65120.0,0.027
76,65070.0,c475d7e2,1,65400.0,0.027
77,65120.0,c475d7e2,1,65400.0,0.027
77,65120.0,c475d7c8,1,67350.0,0.024
78,65400.0,c475d7c8,1,67350.0,0.024
78,65400.0,c475d7cc,1,77180.0,0.012
79,67350.0,c475d7cc,1,77180.0,0.012
79,67350.0,c475d7f4,1,77260.0,0.012
80,77180.0,c475d7f4,1,77260.0,0.012
80,77180.0,c475d7d5,1,82070.0,0.006
81,77260.0,c475d7d5,1,82070.0,0.006
81,77260.0,c475d81c,1,82160.0,0.005
82,82070.0,c475d81c,1,82160.0,0.005
82,82070.0,c475d7d7,1,82200.0,0.005
83,82160.0,2a3bc10c,1,82170.0,0.849
83,82160.0,c475d7d7,1,82200.0,0.005
84,82170.0,c475d7d7,1,82200.0,0.005
84,82170.0,c475d7cf,1,82230.0,0.005
85,82200.0,c475d7cf,1,82230.0,0.005
85,82200.0,c475d802,1,82290.0,0.005
86,82230.0,c475d802,1,82290.0,0.005
86,82230.0,c475d80c,1,82350.0,0.005
87,82290.0,c475d80c,1,82350.0,0.005
87,82290.0,c475d7f6,1,82370.0,0.005
88,82350.0,c475d7f6,1,82370.0,0.005
88,82350.0,c475d7b8,1,82380.0,0.005
89,82370.0,c475d7b8,1,82380.0,0.005
89,82370.0,c475d7d1,1,82400.0,0.005
90,82380.0,c475d7d1,1,82400.0,0.005
90,82380.0,c475d7c2,1,83100.0,0.004
91,82400.0,c475d7c2,1,83100.0,0.004
91,82400.0,c475d7e5,1,83140.0,0.004
92,83100.0,c475d7e5,1,83140.0,0.004
92,83100.0,c475d7e6,1,83180.0,0.004
93,83140.0,c475d7e6,1,83180.0,0.004
93,83140.0,c475d7bf,1,83220.0,0.004
94,83180.0,c475d7bf,1,83220.0,0.004
