routine,t_avg,t_std,t_med,n
check_action_statuses,0.014,0.041,0.0,2410
update_state,0.0,0.0,0.0,2410
sense_environment,0.433,0.403,0.295,2409
update_state_environment,0.008,0.031,0.0,2409
get_environment_broadcasts,0.0,0.0,0.0,2409
get_agent_broadcasts,0.001,0.004,0.0,2409
sense,0.455,0.422,0.309,2409
think,1.0,1.504,0.54,2409
perform_broadcast,0.018,0.045,0.0,2191
do,0.238,2.718,0.051,2409
perform_wait_for_messages,0.302,3.227,0.074,1705
perform_state_change,0.333,3.441,0.095,1498
perform_measurement,0.075,0.061,0.051,41
