routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.0,0.0,217
__check_action_completion,0.0,0.0,0.0,217
preplanner/__get_new_requests,0.0,0.0,0.0,217
preplanner/__update_performed_requests,0.0,0.0,0.0,217
preplanner/_update_access_times,0.047,0.69,0.0,217
preplanner/needs_planning,0.0,0.0,0.0,217
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_schedule_measurements,0.19,0.0,0.19,1
preplanner/_schedule_broadcasts,0.415,0.388,0.415,2
preplanner/_schedule_maneuvers,0.175,0.0,0.175,1
preplanner/__schedule_periodic_replan,0.002,0.0,0.002,1
preplanner/generate_plan,1.21,0.0,1.21,1
replanner/__get_new_requests,0.0,0.0,0.0,217
replanner/__update_performed_requests,0.0,0.0,0.0,217
replanner/_update_access_times,0.258,1.445,0.0,217
replanner/_schedule_measurements,1.3,0.0,1.3,1
replanner/_schedule_broadcasts,0.384,0.133,0.384,2
replanner/_schedule_maneuvers,0.01,0.0,0.01,1
