routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.003,0.011,0.0,5014
__check_action_completion,0.0,0.0,0.0,5014
preplanner/update_percepts,0.0,0.001,0.0,5014
preplanner/needs_planning,0.0,0.0,0.0,5014
preplanner/calculate_access_times,0.204,0.0,0.204,1
preplanner/_schedule_observations,0.628,0.0,0.628,1
preplanner/is_observation_path_valid,0.003,0.0,0.003,1
preplanner/_schedule_broadcasts,17.098,0.0,17.098,1
preplanner/_schedule_maneuvers,0.664,0.0,0.664,1
preplanner/__schedule_periodic_replan,0.041,0.0,0.041,1
preplanner/generate_plan,18.551,0.0,18.551,1
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,5014
replanner/update_percepts,0.005,0.013,0.001,5014
replanner/check_request_completion,0.0,0.0,0.0,5014
replanner/check_request_end_time,0.0,0.0,0.0,5014
replanner/compare_bids,0.0,0.0,0.0,5014
replanner/consensus_phase,0.0,0.0,0.0,5014
replanner/is_observation_path_valid,0.002,0.013,0.001,103534
replanner/needs_planning,0.005,0.017,0.0,5014
replanner/_get_available_requests,0.028,0.035,0.021,1138
replanner/planning_phase,1.567,4.797,0.04,111
replanner/_schedule_observations,1.277,1.128,1.046,111
replanner/_schedule_maneuvers,0.268,0.193,0.212,111
replanner/_schedule_broadcasts,0.009,0.021,0.005,111
replanner/_schedule_waits,0.0,0.0,0.0,111
replanner/generate_plan,3.17,5.32,1.753,111
replanner/calc_imaging_time,0.104,0.122,0.044,15
