routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,969
_wait_for_messages,0.0,0.0,0.0,969
_preplan,5.413,0.0,5.413,1
_get_next_actions,0.001,0.007,0.0,969
_replan,0.592,0.318,0.468,16
preplanner/__get_new_requests,0.0,0.001,0.0,969
preplanner/__update_performed_requests,0.0,0.002,0.0,969
preplanner/_calc_arrival_times,0.372,0.14,0.342,101
preplanner/__update_access_times,0.039,1.206,0.0,969
preplanner/needs_initialized_plan,0.039,1.206,0.0,969
preplanner/_get_available_requests,0.001,0.0,0.001,1
preplanner/_plan_from_path,0.714,0.0,0.714,1
preplanner/initialize_plan,5.412,0.0,5.412,1
replanner/__update_known_requests,0.282,0.259,0.197,969
replanner/__update_performed_requests,0.001,0.004,0.0,969
replanner/_calc_arrival_times,0.368,0.214,0.37,142
replanner/__update_access_times,0.056,1.194,0.001,969
replanner/needs_replanning,0.973,1.421,0.737,969
replanner/_get_available_requests,0.003,0.006,0.0,16
replanner/_plan_from_path,0.247,0.113,0.266,16
