routine,t_avg,t_std,t_med,n
check_action_statuses,0.017,0.054,0.002,731
update_state,0.0,0.0,0.0,731
sense_environment,0.32,0.313,0.236,730
update_state_environment,0.004,0.031,0.0,730
get_environment_broadcasts,0.0,0.0,0.0,730
get_agent_broadcasts,0.0,0.0,0.0,730
sense,0.341,0.332,0.249,730
think,28.67,26.272,29.337,730
perform_broadcast,0.005,0.024,0.0,73
do,3.594,3.618,2.814,730
perform_wait_for_messages,3.801,3.618,2.99,683
perform_state_change,3.859,3.642,3.054,672
perform_measurement,0.307,0.263,0.27,37
