Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
42,783,,-23.6,-93.2,788.5,-13.56,15.22,79.08
84,643,,-44.4,-77.6,752.2,7.58,8.47,84.12
120,704,,-61.3,-55.7,722.8,-3.43,3.82,86.09
181,515,,-59.9,22.3,684.2,8.25,9.13,nan
187,206,,-57.5,27.4,682.7,9.56,10.58,nan
407,114,,58.2,107.9,677.6,-6.4,7.07,nan
501,87,,49.7,-148.4,760.5,12.57,14.06,85.98
561,909,,17.2,-132.0,770.2,-5.15,5.77,79.85
674,46,,-43.0,-103.8,753.0,7.18,8.03,83.69
1019,510,,66.4,100.8,710.9,14.2,15.77,nan
1077,20,,56.4,174.1,730.0,-2.53,2.82,85.75
1344,800,,-65.7,-54.8,699.8,7.62,8.46,nan
1464,813,,-10.5,14.0,631.0,-2.38,2.61,nan
1465,875,,-9.3,12.6,653.2,14.52,15.99,nan
1649,629,,65.0,130.8,725.1,9.29,10.35,89.22
1677,415,,52.3,152.2,761.9,-14.69,16.43,83.5
1814,142,,-19.1,-167.8,766.2,1.7,1.9,79.99
1867,121,,-46.7,-150.9,745.3,4.99,5.58,83.69
1892,381,,-59.5,-138.2,747.9,-13.17,14.7,83.98
2053,892,,-12.8,-11.7,632.2,-3.38,3.71,nan
2400,465,,-15.3,166.1,769.8,4.24,4.76,79.86
2447,109,,-40.3,178.6,751.0,3.48,3.89,82.29
2561,854,,-58.3,-67.6,688.8,-12.64,13.99,nan
2594,205,,-41.2,-51.5,650.6,2.35,2.59,nan
2743,175,,42.0,-14.0,654.1,5.48,6.05,nan
2818,193,,66.4,56.5,704.7,-4.64,5.15,89.59
2879,488,,46.3,114.1,753.8,8.69,9.71,84.4
3224,297,,-20.8,-65.9,639.2,6.7,7.37,nan
3456,766,,53.8,80.5,738.8,5.98,6.67,85.56
3957,396,,54.6,-46.9,685.4,-12.22,13.52,nan
4182,868,,-16.5,93.0,792.1,13.74,15.43,80.44
4255,483,,-53.7,119.4,751.2,12.41,13.86,85.56
4376,375,,-39.7,-124.7,648.5,-1.7,1.87,nan
4387,603,,-34.4,-119.5,669.3,-15.4,17.0,nan
4405,318,,-23.1,-117.8,660.0,14.8,16.31,nan
4516,730,,39.4,-92.0,670.3,14.13,15.6,nan
4811,822,,-36.0,76.8,763.0,8.72,9.76,81.58
4900,511,,-66.2,153.5,696.1,4.45,4.94,nan
5002,622,,-21.0,-141.5,650.5,12.1,13.33,nan
5211,14,,62.0,-16.1,726.1,-8.04,8.95,86.54
5223,850,,59.5,-1.7,747.0,12.7,14.17,87.4
5599,540,,-18.7,-165.5,649.6,12.22,13.46,nan
5642,416,,5.4,-155.7,630.8,3.56,3.92,nan
5783,634,,67.9,-67.2,712.9,9.19,10.21,nan
5865,685,,34.3,-5.3,765.9,-8.89,9.95,79.62
5889,94,,22.4,3.0,772.3,7.58,8.49,79.84
5977,576,,-25.3,21.7,781.7,12.31,13.8,80.29
6010,463,,-44.2,28.5,772.1,-14.06,15.75,79.64
6194,744,,-18.3,171.9,638.3,-7.12,7.83,nan
6247,468,,12.4,-178.5,636.2,6.96,7.65,nan
6299,412,,40.4,-162.8,657.7,-8.2,9.04,nan
6378,757,,67.1,-89.2,705.7,3.42,3.79,nan
6418,396,,54.6,-46.9,733.0,0.47,0.53,84.72
6430,750,,49.5,-38.8,748.7,7.99,8.93,84.21
6454,497,,36.8,-30.6,754.2,-1.77,1.98,80.65
6636,515,,-59.9,22.3,753.7,-15.01,16.76,83.01
6637,859,,-59.4,24.7,727.2,-4.87,5.43,84.3
6689,197,,-65.1,93.1,686.1,-1.36,1.51,nan
6718,483,,-53.7,119.4,676.7,9.94,10.99,nan
7035,309,,42.9,-59.9,748.3,-2.25,2.51,81.61
7256,129,,-67.6,29.5,721.0,-11.4,12.68,86.88
7413,172,,1.0,127.9,630.3,3.4,3.74,nan
7605,145,,54.9,-94.4,749.3,11.05,12.34,85.63
7642,878,,34.9,-81.4,780.9,-14.02,15.72,78.63
7683,866,,13.0,-71.0,792.6,-13.37,15.02,75.85
7766,675,,-31.7,-52.5,759.8,-4.3,4.82,78.33
7850,444,,-67.7,6.2,719.0,-11.0,12.23,87.04
8097,418,,50.2,131.1,667.1,-6.88,7.6,nan
8174,259,,63.7,-141.1,719.6,4.38,4.87,87.91
8282,37,,10.9,-92.0,784.3,10.56,11.85,78.32
8286,480,,8.3,-92.2,770.4,1.97,2.21,77.14
8302,565,,-0.5,-89.1,771.2,2.11,2.37,76.87
8362,471,,-33.2,-76.4,756.9,-2.61,2.92,78.55
8459,249,,-67.6,6.6,704.1,-10.01,11.11,89.41
