Eclipse times for Spacecraft with id therm_sat_1_0
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
start index,end index
372,573
965,1166
1557,1759
2150,2352
2743,2945
3336,3538
3929,4131
4522,4724
5115,5318
5708,5911
6301,6504
6894,7097
7487,7690
8080,8283
