routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,340
update_state,0.0,0.0,0.0,340
sense_environment,0.089,0.052,0.08,339
update_state_environment,0.0,0.0,0.0,339
get_environment_broadcasts,0.0,0.0,0.0,339
get_agent_broadcasts,0.0,0.0,0.0,339
sense,0.09,0.052,0.081,339
think,0.27,2.254,0.023,339
perform_wait_for_messages,0.068,0.136,0.043,264
do,0.122,0.236,0.05,339
perform_state_change,0.113,0.148,0.123,197
perform_measurement,0.059,0.043,0.046,20
perform_broadcast,0.012,0.008,0.012,4
