routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.012,0.045,0.0,7208
__check_action_completion,0.0,0.003,0.0,7208
preplanner/update_percepts,0.002,0.012,0.001,7208
preplanner/needs_planning,0.0,0.0,0.0,7208
preplanner/calculate_access_times,0.236,0.0,0.236,1
preplanner/_schedule_observations,3.706,0.0,3.706,1
preplanner/is_observation_path_valid,0.003,0.0,0.003,1
preplanner/_schedule_broadcasts,144.919,0.0,144.919,1
preplanner/_schedule_maneuvers,2.013,0.0,2.013,1
preplanner/__schedule_periodic_replan,0.032,0.0,0.032,1
preplanner/generate_plan,150.745,0.0,150.745,1
replanner/needs_planning,0.0,0.001,0.0,7208
