routine,t_avg,t_std,t_med,n,t_total
get_current_time,0.0,0.0,0.0,21182,0.0
get_updated_orbit_state,0.01,0.011,0.004,472,4.72
update_agent_state,0.003,0.008,0.0,1502,4.506
check_agent_connectivity,0.0,0.0,0.0,10514,0.0
update_agent_connectivity,0.0,0.0,0.0,1502,0.0
handle_agent_state,0.004,0.008,0.001,1502,6.008
sar_sat_1_0,0.007,0.011,0.002,189,1.323
handle_agent_request,0.022,0.47,0.003,1560,34.32
handle_request,0.02,0.443,0.003,1758,35.160000000000004
vis_sat_1_1,0.008,0.013,0.002,191,1.528
therm_sat_1_0,0.008,0.012,0.002,193,1.544
therm_sat_0_0,0.009,0.013,0.002,202,1.8179999999999998
vis_sat_1_0,0.007,0.012,0.002,187,1.309
vis_sat_0_0,0.008,0.013,0.002,203,1.624
sar_sat_0_0,0.103,1.317,0.002,198,20.394
vis_sat_0_1,0.009,0.013,0.002,197,1.773
handle_agent_broadcast,0.002,0.009,0.0,77,0.154
handle_manager_broadcast,0.002,0.008,0.001,121,0.242
query_measurement_data,0.004,0.007,0.002,58,0.232
handle_observation,0.014,0.014,0.011,58,0.812
