observer,t_img,lat,lon,range,look,incidence,zenith,instrument_name
therm_sat_0_0,270.0,62.319,26.115,720.3,3.15,3.51,,thermal
therm_sat_0_0,290.0,61.28,27.656,720.6,-0.69,0.76,,thermal
therm_sat_0_0,300.0,61.576,29.655,726.7,6.64,7.4,,thermal
therm_sat_1_0,310.0,60.233,-151.159,724.9,-4.83,5.38,86.67,thermal
therm_sat_0_0,560.0,48.778,45.08,768.7,-15.15,16.96,,thermal
vis_sat_0_0,610.0,34.205,-85.617,644.1,-2.2,2.42,,visual
therm_sat_0_0,610.0,48.46,51.923,770.2,14.75,16.51,,thermal
vis_sat_0_0,860.0,48.177,-77.891,675.6,12.84,14.18,,visual
vis_sat_0_0,990.0,53.112,-67.98,672.4,-8.01,8.85,,visual
sar_sat_1_0,1020.0,-53.204,-68.537,737.0,5.1,5.69,85.34,sar
vis_sat_0_0,1040.0,55.312,-64.522,676.3,-8.3,9.18,,visual
vis_sat_0_0,1050.0,55.315,-63.111,690.4,-13.54,14.99,,visual
vis_sat_1_0,1410.0,68.345,155.124,719.3,14.11,15.68,,visual
vis_sat_1_0,1410.0,68.322,155.134,718.6,13.91,15.46,,visual
vis_sat_0_0,1760.0,61.048,22.157,721.1,-0.7,0.78,,visual
vis_sat_0_0,1770.0,61.278,24.036,726.2,6.02,6.71,,visual
vis_sat_1_1,2030.0,31.39,87.965,657.5,-11.99,13.21,,visual
vis_sat_1_1,2060.0,33.965,86.498,653.0,9.55,10.52,,visual
vis_sat_0_0,2060.0,47.11,40.777,770.0,-14.9,16.68,,visual
vis_sat_0_1,2140.0,37.169,-88.427,665.3,-12.88,14.22,,visual
vis_sat_0_1,2310.0,46.867,-83.154,656.4,1.44,1.59,,visual
vis_sat_0_1,2450.0,53.041,-74.299,671.7,-7.74,8.55,,visual
vis_sat_1_1,2690.0,63.71,124.448,687.0,6.8,7.53,,visual
vis_sat_1_1,3230.0,61.016,-163.318,721.7,1.14,1.27,87.37,visual
sar_sat_1_0,3370.0,23.626,74.548,660.4,14.98,16.51,,sar
vis_sat_0_1,3670.0,40.97,43.285,750.3,2.67,2.99,,visual
