routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,377
update_state,0.0,0.0,0.0,377
sense_environment,0.042,0.02,0.039,376
update_state_environment,0.0,0.001,0.0,376
get_environment_broadcasts,0.001,0.003,0.0,376
get_agent_broadcasts,0.0,0.001,0.0,376
sense,0.044,0.019,0.039,376
think,0.032,0.018,0.031,376
perform_wait_for_messages,0.022,0.019,0.016,347
do,0.022,0.018,0.016,376
perform_state_change,0.028,0.014,0.023,32
perform_observation,0.014,0.011,0.009,28
perform_broadcast,0.0,0.0,0.0,2
