routine,t_avg,t_std,t_med,n
check_action_statuses,0.009,0.029,0.0,1557
update_state,0.0,0.0,0.0,1557
sense_environment,0.191,0.122,0.187,1556
update_state_environment,0.001,0.005,0.0,1556
get_environment_broadcasts,0.0,0.0,0.0,1556
get_agent_broadcasts,0.0,0.002,0.0,1556
sense,0.2,0.128,0.197,1556
think,0.303,4.857,0.099,1556
perform_broadcast,0.015,0.043,0.0,262
do,0.688,0.879,0.176,1556
perform_wait_for_messages,0.759,0.894,0.246,1397
perform_state_change,0.76,0.898,0.242,1249
perform_measurement,0.074,0.07,0.049,73
