routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.001,0.0,1543
__check_action_completion,0.0,0.0,0.0,1543
replanner/__get_new_requests,0.0,0.0,0.0,1543
replanner/__update_performed_requests,0.0,0.0,0.0,1543
replanner/_update_access_times,0.021,0.751,0.0,1543
replanner/update_percepts,0.022,0.751,0.0,1543
replanner/compile_external_plan_bids,0.0,0.0,0.0,1543
replanner/compile_new_measurement_request_bids,0.002,0.001,0.001,1543
replanner/check_request_completion,0.0,0.0,0.0,1543
replanner/check_request_end_time,0.0,0.0,0.0,1543
replanner/compare_bids,0.007,0.134,0.0,1543
replanner/consensus_phase,0.007,0.134,0.0,1543
replanner/needs_planning,0.053,0.141,0.029,1543
replanner/calc_imaging_time,0.014,0.031,0.01,2399
replanner/calc_path_bid,0.031,0.107,0.02,2399
replanner/planning_phase,1.631,4.107,1.144,77
replanner/_schdule_measurements,0.014,0.071,0.0,77
replanner/_schedule_broadcasts,0.047,0.078,0.033,77
replanner/_schedule_maneuvers,0.014,0.015,0.01,77
replanner/_plan_from_path,0.076,0.135,0.043,77
replanner/generate_plan,1.708,4.128,1.188,77
