stat_name,val
t_start,2020-01-01 00:00:00+00:00
t_end,2020-01-02 00:00:00+00:00
n_gps_obs,2628
n_obs,16420
n_events,790
n_events_detected,14
n_unique_event_obs,15
n_total_event_obs,20
n_co_obs,4
n_event_partially_co_obs,4
n_events_fully_co_obs,0
t_runtime,2470.059
