Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 0.5
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
196,3789,,-34.931,116.411,794.2,-33.59,37.54,49.92
197,3789,,-34.931,116.411,759.1,-30.02,33.44,49.88
197,4312,,-34.502,116.645,785.8,-32.85,36.68,49.71
198,3789,,-34.931,116.411,729.1,-26.3,29.2,49.85
198,4312,,-34.502,116.645,751.7,-29.23,32.53,49.67
199,3768,,-33.325,117.587,803.8,-34.64,38.74,48.91
199,3789,,-34.931,116.411,704.8,-22.59,25.02,49.81
199,4312,,-34.502,116.645,722.9,-25.48,28.28,49.64
200,2538,,-33.27,118.378,808.0,-35.06,39.23,48.22
200,2890,,-33.169,118.365,811.0,-35.32,39.53,48.23
200,3768,,-33.325,117.587,768.5,-31.26,34.84,48.87
200,3789,,-34.931,116.411,686.8,-19.24,21.27,49.78
200,4312,,-34.502,116.645,699.9,-21.82,24.16,49.6
201,2538,,-33.27,118.378,775.9,-32.09,35.8,48.18
201,2890,,-33.169,118.365,778.1,-32.32,36.06,48.2
201,3768,,-33.325,117.587,738.2,-27.76,30.85,48.84
201,3789,,-34.931,116.411,675.8,-16.79,18.54,49.75
201,4312,,-34.502,116.645,683.5,-18.61,20.57,49.57
202,2538,,-33.27,118.378,749.1,-29.19,32.47,48.15
202,2890,,-33.169,118.365,750.4,-29.34,32.65,48.16
202,3768,,-33.325,117.587,713.6,-24.32,26.96,48.8
202,3789,,-34.931,116.411,672.0,-15.91,17.57,49.71
202,4312,,-34.502,116.645,674.0,-16.44,18.16,49.53
203,1503,,-29.731,115.823,796.1,34.16,38.18,50.56
203,2538,,-33.27,118.378,728.2,-26.55,29.47,48.11
203,2890,,-33.169,118.365,728.5,-26.6,29.53,48.13
203,3768,,-33.325,117.587,695.3,-21.24,23.5,48.77
203,3789,,-34.931,116.411,675.5,-16.94,18.71,49.68
203,3807,,-30.949,118.916,819.4,-36.17,40.52,47.79
