routine,t_avg,t_std,t_med,n
_read_incoming_messages,2e-05,0.0,2e-05,871
__check_action_completion,6e-05,1e-05,6e-05,871
preplanner/update_percepts,2e-05,0.0,2e-05,871
preplanner/needs_planning,0.0,0.0,0.0,871
preplanner/calculate_access_opportunities,0.0003,0.00031,0.00028,865
preplanner/is_observation_path_valid,1e-05,0.0,1e-05,1824
preplanner/_schedule_maneuvers,0.00339,0.00527,0.00181,865
preplanner/__schedule_periodic_replan,8e-05,0.00031,5e-05,865
preplanner/generate_plan,0.01807,0.01238,0.01316,865
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,871
replanner/update_percepts,8e-05,1e-05,8e-05,871
replanner/check_request_completion,0.00297,0.00553,0.00173,871
replanner/check_request_end_time,0.0,0.0,0.0,871
replanner/compare_bids,0.00241,0.00399,0.00139,871
replanner/consensus_phase,0.0054,0.00749,0.00343,871
replanner/needs_planning,0.00541,0.00749,0.00345,871
