routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.001,0.004,0.0,895
__check_action_completion,0.0,0.0,0.0,895
preplanner/update_percepts,0.0,0.0,0.0,895
preplanner/needs_planning,0.0,0.0,0.0,895
preplanner/calculate_access_times,0.1,0.0,0.1,1
preplanner/_schedule_observations,0.438,0.0,0.438,1
preplanner/is_observation_path_valid,0.001,0.0,0.001,1
preplanner/_schedule_broadcasts,3.839,0.0,3.839,1
preplanner/_schedule_maneuvers,0.043,0.0,0.043,1
preplanner/__schedule_periodic_replan,0.003,0.0,0.003,1
preplanner/generate_plan,4.328,0.0,4.328,1
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,895
replanner/update_percepts,0.001,0.002,0.0,895
replanner/check_request_completion,0.0,0.0,0.0,895
replanner/check_request_end_time,0.0,0.0,0.0,895
replanner/compare_bids,0.0,0.0,0.0,895
replanner/consensus_phase,0.0,0.0,0.0,895
replanner/is_observation_path_valid,0.0,0.001,0.0,7999
replanner/needs_planning,0.001,0.004,0.0,895
replanner/_get_available_requests,0.006,0.015,0.0,280
replanner/planning_phase,0.12,0.13,0.111,43
replanner/_schedule_observations,0.024,0.038,0.003,43
replanner/_schedule_maneuvers,0.014,0.014,0.007,43
replanner/_schedule_broadcasts,0.006,0.011,0.005,43
replanner/_schedule_waits,0.0,0.0,0.0,43
replanner/generate_plan,0.165,0.121,0.142,43
replanner/calc_imaging_time,0.009,0.001,0.009,21
