routine,t_avg,t_std,t_med,n,t_total
ENVIRONMENT_wait,-1.0,0.0,-1.0,0,0.0
vis_sat_0_0_wait,0.923,0.866,0.678,29,26.767000000000003
therm_sat_0_0_wait,0.924,0.858,0.698,29,26.796000000000003
sar_sat_0_0_wait,0.872,0.863,0.654,29,25.288
vis_sat_0_1_wait,0.888,0.84,0.697,29,25.752
vis_sat_1_0_wait,0.913,0.873,0.7,29,26.477
therm_sat_1_0_wait,0.874,0.853,0.703,29,25.346
sar_sat_1_0_wait,0.931,0.88,0.733,29,26.999000000000002
vis_sat_1_1_wait,0.886,0.871,0.692,29,25.694
clock_wait,1.019,0.87,0.795,29,29.551
sim_runtime,29.558,0.0,29.558,1,29.558
sim_wait,29.558,0.0,29.558,1,29.558
_execute,29.634,0.0,29.634,1,29.634
