routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,421
update_state,0.0,0.0,0.0,421
sense_environment,0.22,0.095,0.218,420
update_state_environment,0.0,0.0,0.0,420
get_environment_broadcasts,0.001,0.005,0.0,420
get_agent_broadcasts,0.013,0.023,0.0,420
sense,0.234,0.097,0.23,420
think,0.079,0.055,0.08,420
perform_broadcast,0.011,0.016,0.007,8
do,0.11,0.076,0.09,420
perform_wait_for_messages,0.11,0.076,0.089,412
perform_state_change,0.091,0.061,0.083,10
perform_observation,0.129,0.088,0.153,7
