routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,3e-05,2e-05,2e-05,49,0.00147
__check_action_completion,0.00011,8e-05,8e-05,49,0.00539
update_action_completion,0.00884,0.03616,0.00051,49,0.43316000000000004
get_plan_out,0.00294,0.00513,0.00043,49,0.14406
preplanner/update_percepts,0.00022,0.00127,2e-05,49,0.01078
preplanner/needs_planning,0.0,0.0,0.0,49,0.0
preplanner/calculate_access_opportunities,0.00528,0.0,0.00528,1,0.00528
preplanner/_schedule_observations,0.153,0.0,0.153,1,0.153
preplanner/is_observation_path_valid,0.00083,0.0,0.00083,1,0.00083
preplanner/_create_broadcast_path,0.02833,0.0,0.02833,1,0.02833
preplanner/_schedule_broadcasts,0.32226,0.0,0.32226,1,0.32226
preplanner/_schedule_maneuvers,0.35552,0.0,0.35552,1,0.35552
preplanner/__schedule_periodic_replan,0.00756,0.0,0.00756,1,0.00756
preplanner/generate_plan,0.85445,0.0,0.85445,1,0.85445
replanner/needs_planning,1e-05,0.0,0.0,49,0.0004900000000000001
reward_grid/update,8e-05,0.00018,0.0,50,0.004
reward_grid/__get_target_indeces,3e-05,3e-05,2e-05,14,0.00042
reward_grid/propagate_reward,6e-05,7e-05,4e-05,28,0.00168
reward_grid/update_observation,0.00025,0.00026,0.00016,14,0.0035
reward_grid/get_history,0.00178,0.0,0.00178,1,0.00178
