routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,519
_wait_for_messages,0.0,0.0,0.0,519
_preplan,0.328,0.0,0.328,1
_get_next_actions,0.0,0.0,0.0,519
preplanner/__get_new_requests,0.0,0.0,0.0,519
preplanner/__update_performed_requests,0.0,0.0,0.0,519
preplanner/_calc_arrival_times,0.255,0.088,0.257,101
preplanner/__update_access_times,0.05,1.128,0.0,519
preplanner/needs_initialized_plan,0.05,1.128,0.0,519
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_plan_from_path,0.169,0.0,0.169,1
preplanner/initialize_plan,0.327,0.0,0.327,1
