routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,1716
_wait_for_messages,0.0,0.0,0.0,1716
_preplan,0.072,0.101,0.037,24
_get_next_actions,0.0,0.001,0.0,1716
_replan,0.081,0.051,0.072,65
preplanner/__get_new_requests,0.0,0.0,0.0,1716
preplanner/__update_performed_requests,0.0,0.001,0.0,1716
preplanner/_calc_arrival_times,0.231,0.073,0.219,1975
preplanner/__update_access_times,0.267,2.368,0.0,1716
preplanner/needs_initialized_plan,0.267,2.368,0.0,1716
preplanner/_get_available_requests,0.0,0.0,0.0,24
preplanner/_plan_from_path,0.024,0.029,0.006,24
preplanner/initialize_plan,0.072,0.101,0.037,24
replanner/__update_known_requests,0.007,0.017,0.001,1716
replanner/__update_performed_requests,0.0,0.001,0.0,1716
replanner/_calc_arrival_times,0.231,1.017,0.201,2072
replanner/__update_access_times,0.28,2.61,0.001,1716
replanner/needs_replanning,0.305,2.616,0.008,1716
replanner/_get_available_requests,0.0,0.0,0.0,65
replanner/_plan_from_path,0.041,0.03,0.036,65
