routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.00015,0.00063,1e-05,369
__check_action_completion,5e-05,1e-05,5e-05,369
preplanner/update_percepts,2e-05,0.0,2e-05,369
preplanner/needs_planning,0.0,0.0,0.0,369
preplanner/calculate_access_opportunities,0.00113,0.00199,0.00065,156
preplanner/is_observation_path_valid,1e-05,1e-05,1e-05,420
preplanner/_schedule_maneuvers,0.00375,0.00494,0.00225,156
preplanner/__schedule_periodic_replan,5e-05,4e-05,4e-05,156
preplanner/generate_plan,0.02508,0.0151,0.02198,156
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,369
replanner/update_percepts,6e-05,2e-05,5e-05,369
replanner/check_request_completion,0.00571,0.00642,0.00299,369
replanner/check_request_end_time,0.0,0.0,0.0,369
replanner/compare_bids,0.00291,0.00376,0.00155,369
replanner/consensus_phase,0.00863,0.00821,0.00489,369
replanner/needs_planning,0.00864,0.00821,0.0049,369
replanner/_get_available_requests,4e-05,0.00015,1e-05,22
replanner/_generate_bids_from_request,1e-05,0.0,1e-05,2
replanner/_get_matching_request,1e-05,0.0,1e-05,5
replanner/_can_bid,1e-05,0.0,1e-05,1
replanner/_can_access,0.00069,0.0,0.00069,1
replanner/planning_phase,0.00072,0.0,0.00072,1
replanner/merge_plans,2e-05,0.0,2e-05,1
replanner/_schedule_observations,3e-05,0.0,3e-05,1
replanner/_schedule_maneuvers,0.01022,0.0,0.01022,1
replanner/_create_broadcast_path,0.00732,0.0,0.00732,1
replanner/_schedule_broadcasts,0.00741,0.0,0.00741,1
replanner/_schedule_waits,0.0,0.0,0.0,1
replanner/generate_plan,0.01844,0.0,0.01844,1
