routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00273,0.02564,3e-05,12068,32.94564
__check_action_completion,0.00015,0.00068,9e-05,12068,1.8101999999999998
update_action_completion,0.00268,0.01736,0.00029,12068,32.342240000000004
get_plan_out,0.00624,0.02075,0.00033,12068,75.30432
preplanner/update_percepts,0.00145,0.01213,0.00012,12068,17.4986
preplanner/needs_planning,5e-05,0.00238,0.0,12068,0.6034
preplanner/calculate_access_opportunities,0.07213,0.0,0.07213,1,0.07213
preplanner/_schedule_observations,0.16325,0.0,0.16325,1,0.16325
preplanner/is_observation_path_valid,0.00072,0.0,0.00072,1,0.00072
preplanner/_create_broadcast_path,0.03218,0.0,0.03218,1,0.03218
preplanner/_schedule_broadcasts,0.0971,0.0,0.0971,1,0.0971
preplanner/_schedule_maneuvers,0.21056,0.0,0.21056,1,0.21056
preplanner/__schedule_periodic_replan,0.02073,0.0,0.02073,1,0.02073
preplanner/generate_plan,0.57816,0.0,0.57816,1,0.57816
replanner/needs_planning,3e-05,0.00148,0.0,12068,0.36204000000000003
reward_grid/update,0.00117,0.01172,1e-05,12069,14.12073
reward_grid/__get_target_indeces,0.00018,0.00306,1e-05,4436,0.7984800000000001
reward_grid/propagate_reward,0.00077,0.0103,3e-05,8872,6.83144
reward_grid/update_observation,0.0029,0.01837,0.00014,4435,12.8615
reward_grid/update_event,9e-05,0.0,9e-05,1,9e-05
reward_grid/get_history,0.70871,0.0,0.70871,1,0.70871
