routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.002,0.012,0.0,12069,25.594539952726336
update_state,0.001,0.006,0.0,12069,8.69395516964505
sense_environment,0.181,0.158,0.139,12068,2181.9944272557514
update_state_environment,0.002,0.016,0.0,12068,28.009498036124572
get_environment_broadcasts,0.001,0.011,0.0,12068,14.40236294695933
get_agent_broadcasts,0.014,0.036,0.0,12068,171.67536381517857
sense,0.202,0.166,0.158,12068,2436.0811789039
think,0.22,0.241,0.12,12068,2657.972654014691
perform_broadcast,0.011,0.026,0.001,366,4.118525404996035
do,0.193,0.183,0.141,12068,2329.950604830203
perform_wait_for_messages,0.193,0.184,0.141,11702,2262.5858658531324
perform_state_change,0.204,0.185,0.148,586,119.80965125686998
perform_observation,0.157,0.138,0.125,365,57.46671559294555
