Name,Number Planes,Number of Satellites per Plane,Field of Regard (deg),Field of View (deg),Maximum Slew Rate (deg/s),Number of Events per Day,Event Duration (hrs)
experiment_0,1,8,30,5,1,10000,3.0
experiment_1,8,3,60,10,10,10000,6.0
experiment_2,1,8,30,1,10,1000,1.0
experiment_3,8,3,60,1,1,1000,0.25
experiment_4,2,4,60,1,10,100,0.25
experiment_5,1,8,30,1,1,10000,3.0
experiment_6,2,4,60,10,1,10,3.0
experiment_7,1,8,30,10,1,10000,6.0
experiment_8,3,4,60,10,1,100,6.0
experiment_9,8,3,60,5,1,10000,3.0
experiment_10,8,3,30,1,1,10,1.0
experiment_11,2,4,60,5,1,1000,3.0
experiment_12,2,4,30,5,10,100,1.0
experiment_13,3,4,30,1,1,10,3.0
experiment_14,3,4,60,10,10,10000,6.0
experiment_15,2,4,30,1,10,1000,1.0
experiment_16,8,3,30,5,10,10000,6.0
experiment_17,3,4,30,5,10,1000,0.25
experiment_18,8,3,30,5,1,100,6.0
experiment_19,2,4,60,5,1,100,0.25
experiment_20,1,8,60,5,1,10,1.0
experiment_21,1,8,60,1,1,100,6.0
experiment_22,3,4,30,5,1,1000,0.25
experiment_23,1,8,30,10,10,1000,0.25
experiment_24,3,4,30,10,10,1000,3.0
experiment_25,2,4,30,5,1,100,1.0
experiment_26,8,3,30,1,10,1000,6.0
experiment_27,8,3,60,1,1,10000,0.25
experiment_28,2,4,60,1,1,100,0.25
experiment_29,8,3,60,5,10,10000,3.0
experiment_30,1,8,60,1,10,10,6.0
experiment_31,3,4,60,5,1,10,6.0
experiment_32,2,4,60,1,10,100,1.0
experiment_33,8,3,30,1,10,10000,0.25
experiment_34,1,8,30,1,10,1000,3.0
experiment_35,1,8,30,10,10,100,0.25
experiment_36,3,4,60,5,10,1000,6.0
experiment_37,1,8,60,10,10,10000,1.0
experiment_38,1,8,60,10,10,10,1.0
experiment_39,3,4,30,1,1,10,1.0
experiment_40,2,4,60,10,10,10000,0.25
experiment_41,8,3,60,10,10,10,3.0
experiment_42,8,3,60,10,10,10,3.0
experiment_43,3,4,30,5,1,10,6.0
experiment_44,3,4,30,10,1,100,1.0
experiment_45,2,4,30,10,1,10,1.0
experiment_46,3,4,30,5,10,100,0.25
experiment_47,2,4,60,10,1,1000,3.0
