routine,t_avg,t_std,t_med,n
ENVIRONMENT_wait,-1.0,0.0,-1.0,0
vis_sat_0_0_wait,3.007,7.679,2.085,7908
therm_sat_0_0_wait,2.977,7.664,2.097,7908
sar_sat_0_0_wait,3.023,7.676,2.139,7908
vis_sat_0_1_wait,2.971,7.676,2.077,7908
therm_sat_0_1_wait,3.006,7.676,2.142,7908
sar_sat_0_1_wait,2.98,7.674,2.09,7908
vis_sat_0_2_wait,3.009,7.678,2.114,7908
therm_sat_0_2_wait,2.982,7.675,2.106,7908
vis_sat_1_0_wait,3.03,7.68,2.129,7908
therm_sat_1_0_wait,3.028,7.669,2.111,7908
sar_sat_1_0_wait,3.031,7.674,2.123,7908
vis_sat_1_1_wait,3.05,7.677,2.151,7908
therm_sat_1_1_wait,3.05,7.665,2.139,7908
sar_sat_1_1_wait,3.035,7.672,2.127,7908
vis_sat_1_2_wait,3.037,7.665,2.148,7908
therm_sat_1_2_wait,3.042,7.664,2.14,7908
clock_wait,3.463,7.692,2.534,7908
sim_runtime,27389.131,0.0,27389.131,1
