routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.003,0.0,1573
__check_action_completion,0.0,0.002,0.0,1573
replanner/__get_new_requests,0.0,0.0,0.0,1573
replanner/__update_performed_requests,0.0,0.0,0.0,1573
replanner/_update_access_times,0.013,0.493,0.0,1573
replanner/update_percepts,0.014,0.494,0.0,1573
replanner/compile_external_plan_bids,0.0,0.0,0.0,1573
replanner/compile_new_measurement_request_bids,0.001,0.006,0.001,1573
replanner/check_request_completion,0.0,0.0,0.0,1573
replanner/check_request_end_time,0.0,0.0,0.0,1573
replanner/compare_bids,0.006,0.119,0.0,1573
replanner/consensus_phase,0.006,0.119,0.0,1573
replanner/needs_planning,0.051,0.146,0.023,1573
replanner/calc_imaging_time,0.014,0.037,0.01,3288
replanner/calc_path_bid,0.028,0.068,0.02,3288
replanner/planning_phase,1.819,4.52,1.304,87
replanner/_schdule_measurements,0.008,0.046,0.0,87
replanner/_schedule_broadcasts,0.045,0.065,0.033,87
replanner/_schedule_maneuvers,0.014,0.02,0.01,87
replanner/_plan_from_path,0.068,0.11,0.043,87
replanner/generate_plan,1.888,4.558,1.347,87
