routine,t_avg,t_std,t_med,n,t_total
check_action_statuses,0.0,0.002,0.0,1120,0.2570914890147833
update_state,0.0,0.0,0.0,1120,0.1343284869690251
sense_environment,0.029,0.019,0.026,1119,32.80819361804424
update_state_environment,0.0,0.001,0.0,1119,0.1602731780076283
get_environment_broadcasts,0.0,0.002,0.0,1119,0.3178975019927748
get_agent_broadcasts,0.008,0.024,0.0,1119,9.278396806050296
sense,0.038,0.027,0.032,1119,43.05881844104625
think,0.041,0.041,0.03,1119,45.51658775899341
perform_broadcast,0.002,0.004,0.0,72,0.14788134000446007
do,0.043,0.036,0.034,1119,48.174023492014385
perform_wait_for_messages,0.046,0.035,0.037,1037,47.463312257037614
perform_state_change,0.031,0.02,0.027,29,0.8948211209954025
perform_observation,0.017,0.01,0.012,24,0.40025276899905293
