routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00044,0.00336,2e-05,1119,0.49236
__check_action_completion,7e-05,3e-05,6e-05,1119,0.07833
update_action_completion,2e-05,1e-05,2e-05,1119,0.02238
get_plan_out,0.00021,0.00109,7e-05,1119,0.23499
preplanner/update_percepts,9e-05,0.00043,3e-05,1119,0.10071000000000001
preplanner/needs_planning,0.0,0.0,0.0,1119,0.0
preplanner/calculate_access_opportunities,0.00039,0.0,0.00039,1,0.00039
preplanner/_schedule_observations,0.07063,0.0,0.07063,1,0.07063
preplanner/is_observation_path_valid,6e-05,0.0,6e-05,1,6e-05
preplanner/_create_broadcast_path,0.01644,0.0,0.01644,1,0.01644
preplanner/_schedule_broadcasts,0.08502,0.0,0.08502,1,0.08502
preplanner/_schedule_maneuvers,0.04663,0.0,0.04663,1,0.04663
preplanner/__schedule_periodic_replan,0.00041,0.0,0.00041,1,0.00041
preplanner/generate_plan,0.20363,0.0,0.20363,1,0.20363
replanner/compile_new_measurement_request_bids,1e-05,1e-05,1e-05,1119,0.01119
replanner/update_percepts,0.00013,0.00011,9e-05,1119,0.14547
replanner/check_request_completion,0.01376,0.01749,0.00936,1119,15.39744
replanner/check_request_end_time,0.0,0.0,0.0,1119,0.0
replanner/compare_bids,0.0091,0.01515,0.00478,1119,10.1829
replanner/consensus_phase,0.02288,0.0274,0.0169,1119,25.60272
replanner/needs_planning,0.02292,0.02738,0.01694,1119,25.647479999999998
replanner/_get_available_requests,0.00216,0.00278,0.00155,75,0.162
replanner/_generate_bids_from_request,1e-05,0.0,1e-05,112,0.0011200000000000001
replanner/_get_matching_request,1e-05,1e-05,1e-05,2253,0.02253
replanner/_can_bid,0.0,0.0,0.0,1750,0.0
replanner/planning_phase,0.00655,0.02316,0.00211,57,0.37335
replanner/is_observation_path_valid,2e-05,1e-05,2e-05,634,0.01268
replanner/merge_plans,0.0004,0.00043,0.00027,73,0.0292
replanner/_schedule_observations,0.00028,0.00038,7e-05,57,0.01596
replanner/_schedule_maneuvers,0.03742,0.03977,0.02528,57,2.13294
replanner/_create_broadcast_path,0.01819,0.00477,0.01656,61,1.10959
replanner/_schedule_broadcasts,0.02009,0.00706,0.01751,57,1.14513
replanner/_schedule_waits,0.0,0.0,0.0,57,0.0
replanner/generate_plan,0.06452,0.04735,0.04449,57,3.67764
replanner/_can_access,0.0002,0.00076,0.00013,660,0.132
replanner/calc_path_utility,0.00128,0.00035,0.00144,16,0.02048
replanner/is_task_path_valid,7e-05,3e-05,6e-05,22,0.00154
replanner/calc_imaging_time,0.00022,5e-05,0.00022,14,0.0030800000000000003
replanner/_generate_path,0.04826,0.06372,0.00848,5,0.2413
reward_grid/update,2e-05,0.00015,0.0,1120,0.022400000000000003
reward_grid/__get_target_indeces,1e-05,1e-05,0.0,437,0.004370000000000001
reward_grid/propagate_reward,3e-05,0.00019,1e-05,579,0.01737
reward_grid/update_observation,9e-05,3e-05,8e-05,86,0.00774
reward_grid/update_event,0.00019,0.00063,0.0001,56,0.01064
reward_grid/estimate_reward,2e-05,2e-05,2e-05,295,0.005900000000000001
reward_grid/get_history,0.00286,0.0,0.00286,1,0.00286
