routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.016,0.051,0.0,4377
__check_action_completion,0.0,0.001,0.0,4377
preplanner/update_percepts,0.002,0.011,0.001,4377
preplanner/needs_planning,0.0,0.0,0.0,4377
preplanner/calculate_access_opportunities,0.06,0.075,0.034,864
preplanner/_schedule_observations,0.152,0.192,0.074,864
preplanner/is_observation_path_valid,0.0,0.0,0.0,864
preplanner/_schedule_broadcasts,0.059,0.118,0.0,864
preplanner/_schedule_maneuvers,0.0,0.0,0.0,864
preplanner/__schedule_periodic_replan,0.001,0.007,0.0,864
preplanner/generate_plan,0.212,0.263,0.092,864
replanner/needs_planning,0.0,0.0,0.0,4377
