routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.001,0.0,1572
__check_action_completion,0.0,0.0,0.0,1572
replanner/__get_new_requests,0.0,0.0,0.0,1572
replanner/__update_performed_requests,0.0,0.0,0.0,1572
replanner/_update_access_times,0.016,0.588,0.0,1572
replanner/update_percepts,0.016,0.588,0.0,1572
replanner/compile_external_plan_bids,0.0,0.0,0.0,1572
replanner/compile_new_measurement_request_bids,0.001,0.001,0.001,1572
replanner/check_request_completion,0.0,0.0,0.0,1572
replanner/check_request_end_time,0.0,0.0,0.0,1572
replanner/compare_bids,0.005,0.164,0.0,1572
replanner/consensus_phase,0.006,0.164,0.0,1572
replanner/needs_planning,0.048,0.169,0.023,1572
replanner/calc_imaging_time,0.016,0.083,0.01,3679
replanner/calc_path_bid,0.031,0.101,0.02,3679
replanner/planning_phase,2.099,5.068,1.425,89
replanner/_schdule_measurements,0.001,0.007,0.0,89
replanner/_schedule_broadcasts,0.037,0.037,0.033,89
replanner/_schedule_maneuvers,0.011,0.006,0.01,89
replanner/_plan_from_path,0.051,0.069,0.043,89
replanner/generate_plan,2.151,5.142,1.469,89
