routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.017,0.092,0.0,12544
__check_action_completion,0.0,0.009,0.0,12544
preplanner/update_percepts,0.003,0.021,0.0,12544
preplanner/needs_planning,0.0,0.001,0.0,12544
preplanner/calculate_access_times,0.123,0.0,0.123,1
preplanner/_schedule_observations,2.998,0.0,2.998,1
preplanner/is_observation_path_valid,0.197,0.0,0.197,1
preplanner/_schedule_broadcasts,102.149,0.0,102.149,1
preplanner/_schedule_maneuvers,0.764,0.0,0.764,1
preplanner/__schedule_periodic_replan,0.411,0.0,0.411,1
preplanner/generate_plan,108.797,0.0,108.797,1
replanner/needs_planning,0.0,0.005,0.0,12544
