routine,t_avg,t_std,t_med,n
img_0,0.041,0.082,0.027,1605
thm_1,0.039,0.076,0.027,1608
sar_0,0.04,0.068,0.027,1644
thm_0,0.039,0.053,0.027,1578
img_1,0.043,0.097,0.027,1592
sar_1,0.044,0.096,0.027,1600
img_2,0.045,0.106,0.027,1599
sar_2,0.038,0.067,0.027,1594
thm_2,0.037,0.037,0.027,1610
query_measurement_data,0.032,0.046,0.013,682
