Eclipse times for Spacecraft with id imaging_sat_2_2
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
start index,end index
259,429
852,1022
1446,1615
2039,2208
2632,2800
3226,3393
3819,3986
