routine,t_avg,t_std,t_med,n,t_total
_read_incoming_messages,0.00987,0.06093,2e-05,10153,100.21011
__check_action_completion,0.00015,0.00226,9e-05,10153,1.5229499999999998
update_action_completion,0.00127,0.00997,0.00025,10153,12.89431
get_plan_out,0.00359,0.0131,0.00029,10153,36.44927
preplanner/update_percepts,0.01189,0.03091,0.00177,10153,120.71916999999999
preplanner/needs_planning,3e-05,0.00083,0.0,10153,0.30459
preplanner/calculate_access_opportunities,0.00687,0.0,0.00687,1,0.00687
preplanner/_schedule_observations,0.13923,0.0,0.13923,1,0.13923
preplanner/is_observation_path_valid,0.00092,0.0,0.00092,1,0.00092
preplanner/_create_broadcast_path,0.02596,0.0,0.02596,1,0.02596
preplanner/_schedule_broadcasts,0.32626,0.0,0.32626,1,0.32626
preplanner/_schedule_maneuvers,0.37883,0.0,0.37883,1,0.37883
preplanner/__schedule_periodic_replan,0.0063,0.0,0.0063,1,0.0063
preplanner/generate_plan,0.87676,0.0,0.87676,1,0.87676
replanner/needs_planning,1e-05,0.00037,0.0,10153,0.10153000000000001
replanner/_create_broadcast_path,0.06452,0.09092,0.0275,118,7.613359999999999
reward_grid/update,0.00101,0.01019,1e-05,10154,10.25554
reward_grid/__get_target_indeces,0.00025,0.00503,1e-05,4274,1.0685
reward_grid/propagate_reward,0.00049,0.00753,4e-05,8548,4.18852
reward_grid/update_observation,0.00256,0.01643,0.00014,3336,8.54016
reward_grid/update_event,0.00092,0.00872,0.00011,938,0.8629600000000001
reward_grid/get_history,0.04973,0.0,0.04973,1,0.04973
