routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,962
update_state,0.0,0.0,0.0,962
sense_environment,0.419,0.411,0.281,961
update_state_environment,0.0,0.0,0.0,961
get_environment_broadcasts,0.0,0.0,0.0,961
get_agent_broadcasts,0.0,0.0,0.0,961
sense,0.42,0.411,0.282,961
think,0.992,2.749,0.472,961
perform_state_change,0.51,0.473,0.387,932
do,0.52,0.486,0.398,961
perform_measurement,0.256,0.23,0.182,50
perform_wait_for_messages,0.25,0.321,0.103,45
perform_broadcast,0.011,0.01,0.012,8
