routine,t_avg,t_std,t_med,n
check_action_statuses,0.003,0.018,0.0,216
update_state,0.0,0.0,0.0,216
sense_environment,0.295,0.221,0.243,215
update_state_environment,0.007,0.041,0.0,215
get_environment_broadcasts,0.0,0.0,0.0,215
get_agent_broadcasts,0.0,0.0,0.0,215
sense,0.305,0.23,0.257,215
think,1.751,2.793,1.373,215
perform_broadcast,0.029,0.074,0.0,8
do,0.233,0.324,0.11,215
perform_wait_for_messages,0.226,0.325,0.104,207
perform_state_change,0.24,0.33,0.112,204
perform_measurement,0.059,0.057,0.028,6
