routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.007,0.019,0.0,2671
__check_action_completion,0.0,0.0,0.0,2671
preplanner/update_percepts,0.0,0.003,0.0,2671
preplanner/needs_planning,0.0,0.0,0.0,2671
preplanner/calculate_access_times,0.12,0.0,0.12,1
preplanner/_schedule_observations,1.042,0.0,1.042,1
preplanner/is_observation_path_valid,0.003,0.0,0.003,1
preplanner/_schedule_broadcasts,69.607,0.0,69.607,1
preplanner/_schedule_maneuvers,0.674,0.0,0.674,1
preplanner/__schedule_periodic_replan,0.033,0.0,0.033,1
preplanner/generate_plan,72.433,0.0,72.433,1
replanner/compile_new_measurement_request_bids,0.0,0.0,0.0,2671
replanner/update_percepts,0.01,0.026,0.001,2671
replanner/check_request_completion,0.0,0.0,0.0,2671
replanner/check_request_end_time,0.0,0.0,0.0,2671
replanner/compare_bids,0.0,0.0,0.0,2671
replanner/consensus_phase,0.0,0.0,0.0,2671
replanner/is_observation_path_valid,0.001,0.018,0.0,16094
replanner/needs_planning,0.001,0.008,0.0,2671
replanner/_get_available_requests,0.004,0.019,0.0,983
replanner/planning_phase,2.865,9.916,0.0,13
replanner/_schedule_observations,1.327,2.541,0.596,13
replanner/_schedule_maneuvers,0.179,0.189,0.131,13
replanner/_schedule_broadcasts,0.016,0.006,0.014,13
replanner/_schedule_waits,0.0,0.0,0.0,13
replanner/generate_plan,4.484,9.9,0.973,13
replanner/calc_imaging_time,0.03,0.019,0.03,2
