routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.0,0.0,0.0,2
__check_action_completion,0.0,0.0,0.0,2
preplanner/__get_new_requests,0.0,0.0,0.0,2
preplanner/__update_performed_requests,0.0,0.0,0.0,2
preplanner/_update_access_times,2.007,2.007,2.007,2
preplanner/needs_planning,0.0,0.0,0.0,2
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_schedule_measurements,0.612,0.0,0.612,1
preplanner/_schedule_broadcasts,0.155,0.151,0.155,2
preplanner/_schedule_maneuvers,0.266,0.0,0.266,1
preplanner/__schedule_periodic_replan,0.044,0.0,0.044,1
preplanner/generate_plan,1.297,0.0,1.297,1
replanner/__get_new_requests,0.0,0.0,0.0,2
replanner/__update_performed_requests,0.0,0.0,0.0,2
replanner/_update_access_times,1.527,1.527,1.527,2
replanner/_get_available_requests,0.002,0.001,0.002,4
