routine,t_avg,t_std,t_med,n
check_action_statuses,0.001,0.005,0.0,876
update_state,0.0,0.0,0.0,876
sense_environment,0.108,0.052,0.106,875
update_state_environment,0.001,0.005,0.0,875
get_environment_broadcasts,0.009,0.016,0.0,875
get_agent_broadcasts,0.034,0.049,0.0,875
sense,0.153,0.065,0.15,875
think,0.109,0.696,0.058,875
perform_broadcast,0.006,0.015,0.0,319
do,0.067,0.058,0.053,875
perform_wait_for_messages,0.063,0.063,0.046,557
perform_state_change,0.044,0.038,0.032,228
perform_observation,0.072,0.041,0.063,299
