routine,t_avg,t_std,t_med,n
check_action_statuses,0.0,0.0,0.0,244
update_state,0.0,0.0,0.0,244
sense_environment,0.085,0.062,0.071,243
update_state_environment,0.0,0.0,0.0,243
get_environment_broadcasts,0.0,0.0,0.0,243
get_agent_broadcasts,0.0,0.0,0.0,243
sense,0.086,0.062,0.072,243
think,0.936,6.836,0.038,243
perform_state_change,0.13,0.272,0.114,363
do,0.239,0.468,0.083,243
perform_wait_for_messages,0.075,0.046,0.058,119
perform_measurement,0.061,0.039,0.057,31
perform_broadcast,0.002,0.002,0.002,2
