routine,t_avg,t_std,t_med,n,t_total
ENVIRONMENT_wait,-1.0,0.0,-1.0,0,0.0
vis_sat_0_0_wait,0.123,0.149,0.079,889,109.347
therm_sat_0_0_wait,0.123,0.147,0.08,889,109.347
sar_sat_0_0_wait,0.124,0.147,0.082,889,110.236
vis_sat_0_1_wait,0.123,0.148,0.08,889,109.347
vis_sat_1_0_wait,0.122,0.149,0.079,889,108.458
therm_sat_1_0_wait,0.123,0.15,0.079,889,109.347
sar_sat_1_0_wait,0.125,0.149,0.081,889,111.125
vis_sat_1_1_wait,0.123,0.149,0.079,889,109.347
clock_wait,0.154,0.152,0.112,889,136.906
sim_runtime,136.888,0.0,136.888,1,136.888
sim_wait,136.888,0.0,136.888,1,136.888
_execute,136.908,0.0,136.908,1,136.908
