routine,t_avg,t_std,t_med,n,t_total
get_current_time,0.0,0.0,0.0,208,0.0
get_updated_orbit_state,0.038,0.036,0.023,8,0.304
update_agent_state,0.039,0.036,0.023,8,0.312
check_agent_connectivity,0.0,0.0,0.0,56,0.0
update_agent_connectivity,0.0,0.0,0.0,8,0.0
handle_agent_state,0.04,0.037,0.024,8,0.32
therm_sat_0_0,0.017,0.0,0.017,1,0.017
handle_agent_request,0.094,0.121,0.032,8,0.752
handle_request,0.084,0.118,0.03,9,0.756
vis_sat_0_1,0.033,0.0,0.033,1,0.033
therm_sat_0_2,0.027,0.0,0.027,1,0.027
vis_sat_0_2,0.022,0.0,0.022,1,0.022
sar_sat_0_0,0.401,0.0,0.401,1,0.401
vis_sat_0_0,0.128,0.0,0.128,1,0.128
sar_sat_0_1,0.067,0.0,0.067,1,0.067
therm_sat_0_1,0.029,0.0,0.029,1,0.029
handle_manager_broadcast,0.0,0.0,0.0,1,0.0
