Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
244,230,,-49.9,99.6,739.1,-1.29,1.44,60.5
287,140,,-66.0,137.7,709.9,-2.75,3.06,47.3
339,169,,-58.7,-154.0,698.5,-15.35,17.01,45.23
541,778,,50.9,-89.2,674.2,-10.28,11.36,nan
694,651,,27.2,39.6,775.2,10.18,11.41,nan
729,539,,7.8,46.0,770.1,1.19,1.33,nan
731,535,,7.3,48.0,799.8,14.78,16.62,nan
773,400,,-16.1,55.2,771.8,5.98,6.7,86.76
1171,849,,64.0,-80.5,708.9,-13.17,14.62,nan
1198,864,,66.1,-42.1,708.8,1.79,1.98,nan
1209,846,,63.2,-28.5,716.5,-0.63,0.7,nan
1235,793,,53.9,-5.0,748.2,10.4,11.62,nan
1314,557,,11.3,17.7,797.4,-14.53,16.33,nan
1449,172,,-58.7,61.6,728.9,-4.75,5.29,54.41
1843,749,,45.1,-25.3,761.6,-11.72,13.11,nan
2073,142,,-65.1,73.8,729.2,14.48,16.12,44.14
2085,127,,-67.8,91.9,706.1,-9.9,11.0,44.78
2155,286,,-38.7,147.6,661.4,10.99,12.13,50.2
2389,857,,65.0,-85.1,712.7,1.69,1.88,nan
2672,135,,-66.7,57.4,699.7,2.76,3.06,44.33
2782,375,,-21.1,134.7,648.3,-11.39,12.54,64.08
2785,385,,-18.8,134.1,633.9,2.08,2.28,64.31
2821,504,,1.9,141.1,635.6,7.78,8.55,79.58
2958,856,,65.0,-144.3,722.0,-15.05,16.73,nan
3447,616,,20.9,122.4,656.7,14.27,15.72,nan
3510,789,,53.3,147.8,667.3,-4.13,4.56,nan
3715,474,,-3.3,-73.1,800.2,14.79,16.62,nan
3846,137,,-66.3,-10.2,708.8,-3.27,3.63,47.47
4047,634,,23.7,102.0,658.3,-14.04,15.47,nan
4174,841,,62.9,-153.0,717.8,-2.36,2.63,nan
4308,473,,-3.4,-98.3,792.5,12.79,14.37,nan
4434,152,,-63.5,-40.0,735.2,13.92,15.51,47.01
4443,136,,-66.4,-28.8,704.7,1.55,1.72,46.09
4466,150,,-64.2,3.8,700.1,10.46,11.6,41.62
4662,709,,37.2,80.2,671.1,15.0,16.56,nan
4725,851,,64.2,124.6,687.7,-3.81,4.22,nan
4771,832,,60.7,-174.9,737.2,-11.72,13.06,nan
4943,346,,-27.3,-116.5,766.4,-6.44,7.21,80.82
5059,148,,-64.4,-21.0,695.7,8.55,9.47,41.81
5282,768,,49.4,70.3,686.3,-14.8,16.38,nan
5333,866,,66.8,120.2,697.4,-1.06,1.18,nan
5352,867,,66.8,149.4,739.5,14.98,16.7,nan
5354,862,,65.8,151.6,726.1,10.37,11.54,nan
5406,741,,43.8,-169.6,762.5,10.82,12.11,nan
5438,646,,26.4,-161.3,762.1,-0.86,0.97,nan
5755,401,,-15.4,9.7,644.2,10.64,11.71,64.73
5792,522,,5.3,17.9,631.2,3.99,4.38,81.46
5796,532,,7.1,20.0,640.0,-9.74,10.71,84.26
5865,752,,45.7,37.9,657.9,4.99,5.5,nan
5949,860,,65.6,129.5,736.7,13.34,14.86,nan
6235,132,,-67.3,-84.0,697.1,-4.85,5.38,44.41
6436,682,,33.2,7.0,664.3,-13.64,15.04,nan
6621,656,,27.7,147.8,762.5,-3.34,3.73,nan
6794,165,,-60.1,-152.4,749.3,15.37,17.15,50.77
6830,128,,-67.7,-105.5,705.6,-10.42,11.57,44.72
6860,178,,-57.8,-72.0,671.7,2.52,2.78,42.09
6919,335,,-28.6,-43.2,654.3,-12.02,13.24,57.42
7084,825,,59.4,12.1,697.2,-13.11,14.54,nan
7131,853,,64.5,72.5,716.9,-6.48,7.21,nan
7317,336,,-28.6,143.8,772.0,-9.56,10.71,81.03
7430,147,,-64.4,-121.8,698.8,9.86,10.93,41.66
7747,821,,57.8,72.4,729.7,3.21,3.57,nan
7750,801,,55.2,72.3,751.5,-12.86,14.37,nan
7751,795,,54.6,72.7,759.8,-14.93,16.69,nan
7781,734,,41.8,91.1,753.5,5.73,6.4,nan
7799,678,,32.4,96.8,761.6,5.28,5.91,nan
7816,634,,23.7,102.0,785.7,12.69,14.24,nan
7869,463,,-5.5,112.1,779.4,8.39,9.41,nan
7909,337,,-28.4,118.0,788.2,-14.41,16.18,82.04
7917,314,,-32.4,120.9,766.4,-8.46,9.48,78.01
7945,251,,-46.4,131.7,742.6,-1.06,1.18,65.59
7963,191,,-55.1,141.2,732.6,-3.53,3.94,58.77
8433,550,,10.3,81.4,775.8,6.89,7.73,nan
8478,406,,-15.0,88.8,771.4,-5.41,6.06,nan
8540,250,,-46.4,109.7,764.4,13.38,14.97,63.69
