routine,t_avg,t_std,t_med,n
check_action_statuses,0.001,0.006,0.0,852
update_state,0.0,0.0,0.0,852
sense_environment,0.1,0.066,0.093,851
update_state_environment,0.001,0.011,0.0,851
get_environment_broadcasts,0.015,0.034,0.0,851
get_agent_broadcasts,0.017,0.046,0.0,851
sense,0.134,0.098,0.121,851
think,0.846,1.473,0.045,851
perform_broadcast,0.005,0.015,0.0,119
do,0.114,0.193,0.059,851
perform_wait_for_messages,0.14,0.237,0.053,536
perform_state_change,0.044,0.038,0.031,219
perform_observation,0.073,0.047,0.065,289
